villa_number;internal_name;title;description;object_type;deal_type;main_area;sub_area;bedrooms;bathrooms;price_monthly;price_yearly;price_forsale;price_currency;duration_min;duration_max;payment;availability;exact_location;display_location;order;bathtub;car_parking;closed_kitchen;desk;enclosed_living_area;garage;high_speed_wifi;nature_view;pet_friendly;pool;washing_machine
67;Three bed Lod Old Design 30 juta;;"Three bedroom villa in the south of Ubud, Lodtunduh.
7 minutes to TitiBatu Ubud, 10-15 minutes to Ubud center.

Big territory.
Swimming pool.
Two-story building.";villa;rent;ubud;lodtunduh;3;3;29000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
66;Two Bed Lod Old Design 15 juta;;"Two bedroom villa with enclosed kitchen in the south of Ubud, Lodtunduh.
7 minutes to TitiBatu Ubud, 10-15 minutes to Ubud center.

Traditional Balinese style 2 bedroom, fully equipped for a comfortable stay villa, with itís own garden, swimming pool, big territory and finally - enclosed kitchen/living room. Pretty hard to find these days in Ubud
You will have everything you need for a joyful stay.

Kitchen with a fridge, full sized.
Garden with trees.
Swimming pool.
A lot of light in the rooms.
Air conditioning.
";villa;rent;ubud;lodtunduh;2;2;15000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
65;Cheap room near Vespa from Suwisni;;"One bedroom room/apartment in Penestanan, Ubud.
Near Vespa cafe and HealthyUbud cafe, walking distance.
10 minutes to Ubud center.

Everything you need for a comfortable stay.
A full size room with a bed, sofa and a table, wardrobe and bathroom with a bathtub.
Also a kitchen with a fridge.

Everything is already included:
Gas
Drinking water
Cleaning
Changing sheets and towels
Electricity
Wi-fi.";villa;rent;ubud;penestanan;1;1;6000000;;;idr;1;;monthly;now;;;;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹
63;Petulu 1bdr from Made Puri Villa;;"Brand new 1 bedroom villa in Petulu, Ubud north.
Google maps location - near ìCermai Villa Ubud, Petuluî
10 minutes (2.9km) to Pepito Andong and Delta Dewata.


You will be among the first guests!
A lot of light, fresh air and a calm peaceful atmosphere.
One spacious bedroom, bathtub, mini kitchen, garden, closed territory, car access to the villa, parking.
Wi-fi is installed.
Fully ready.
";villa;rent;ubud;petulu;1;1;16000000;;;idr;1;;monthly;now;;;;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
40;Puri Kembar Lodtunduh 2bdr;;"Two bedroom villa in the south of Ubud, Lodtunduh area.
Big garden and wide open fields view.

4km or 10 minutes drive to Titi Batu Club and 15-20 minutes to Ubud center depending on the traffic.

Natural garden. Big designers swimming pool. Separate kitchen, near the pool (not on the photos). Open view on the fields.
Parking space for a car.

Cleaning included.";villa;rent;ubud;lodtunduh;2;2;20000000;;;idr;1;;monthly;now;;;;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;»—“»Õ¿;;»—“»Õ¿;ÀŒ∆‹
5;Villa Pondok Uma Sari 2bdr;;"New 2bdr villa south of Ubud, Lodtunduh.
5 minutes to Titi Batu and Usha Cafe (2km).
10 minutes to Ubud.

Recently built, all new. You will be among the first guests ??
Good view, green space, spacious territory, a lot of light. Dry and clean.
Access for a car. Car park and scooter park.

Without electricity.
Including many things: cleaning twice a week, pool cleaning once a week, drinking water, gas, trash removal, linen change once a week.";villa;rent;ubud;lodtunduh;2;2;23000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;»—“»Õ¿;;»—“»Õ¿;ÀŒ∆‹
43;2bdr brand new near Kaputren and Puri Kembar;;"Brand new two bedroom villa in the south of Ubud, Lodtunduh area.
Approximate location on Google Maps - near Sapta Villa Ubud.
Around 10 minutes to Titi Batu Club Ubud and 15ñ18 minutes to Ubud center.

New villa set among rice fields, surrounded by greenery and open space. A great option for those who want to stay close to Ubud while enjoying more nature, calm surroundings, and fewer crowds.

The villa is fresh, bright, and well balanced, combining traditional Balinese elements with modern design. The kitchen is spacious and comfortable for daily living. Bedrooms are equipped with air conditioning and TVs. The bathroom includes a bathtub. Everything is new and well maintained.

ñ 2 bedrooms with air conditioning and TV.
ñ Swimming pool.
ñ Spacious kitchen.
ñ Gazebo/chilling area.
ñ Garden and green surroundings.
ñ Bathtub in the bathroom.
ñ Parking area.
ñ Rice field view.
ñ Quiet and natural location.";villa;rent;ubud;lodtunduh;2;2;17000000;165000000;;idr;1;;monthly;now;;;;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
47;new Penest 1bdr Ayu F 120;;"One bedroom villa in Ubud, Penestanan area.
Walking distance to Alchemy Bali Restaurant.
Close to Ubud center.

Just built one bedroom villa with a swimming pool, located in one of the most creative and desirable areas of Ubud. The location is ideal for those who want to live close to caf?s and community spots, while still enjoying privacy and nature.

The villa is bright and spacious, with a lot of natural light throughout the day. The bedroom opens to the pool and garden, creating a pleasant and relaxed atmosphere. A working desk is set up for comfortable remote work.

Bathroom is designed in a natural style and filled with daylight from above. Kitchen is fully equipped and practical for everyday living. Villa feels cozy, clean, and well balanced.


ñ One bedroom with plenty of natural light.
ñ View of the pool and garden.
ñ Working desk.
ñ Nature style bathroom with daylight.
ñ Equipped kitchen.
ñ Calm and green environment.
ñ Walking distance to Alchemy Bali.

Price: 120,000,000 IDR per year.
Cleaning of the house and swimming pool once per week included.";villa;rent;ubud;penestanan;1;1;12000000;120000000;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
51;2 bdr villa with view near Ubud, south, Sukawati area;;"Two bedroom villa with a nature view in the south of Ubud, Sukawati area.
Around 9 minutes to Rusters Cafe. Close to Sayan.
Approximately 15ñ20 minutes to Ubud center.

A calm and light-filled villa surrounded by greenery, ideal for those who value silence, fresh air, and a relaxed natural atmosphere away from busy areas.

The villa features an infinity swimming pool with an open view of nature, creating a strong feeling of space and privacy. The kitchen and living room are combined into a comfortable common area with a TV. Large windows bring in plenty of daylight and enhance the connection with the surroundings.

ñ 2 bedrooms.
ñ Kitchen and living room with TV.
ñ Pool with a view.
ñ Green and quiet surroundings.
ñ A lot of natural light.
ñ Fresh air and peaceful environment.

Cleaning is included.
Electricity, gas, and water are separate.";villa;rent;ubud;sukawati;2;2;20000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;»—“»Õ¿;;»—“»Õ¿;ÀŒ∆‹
9;2bdr Lod with big rooms and swimming pool;;"Two bedroom villa in Ubud South, Lodtunduh area.
3-5 minutes to Titi Batu Club Ubud, and Usha Cafe & Bakery.
10 minutes to Ubud center.

Almost new private two bedroom villa, in a quiet area with two really big bedrooms.
Beautiful rooms and bathrooms, good lighting.

Fully equipped kitchen with blender.
Two bedrooms, all with AC.
Two beautiful bathrooms.
Swimming pool.
Space to park a car (possible) and scooter park.

Good place for such a price.
Yearly option nego.
Electricity not included.";villa;rent;ubud;lodtunduh;2;2;20000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
55;Brand new 2bdr from Yulia Niki sister;;"Brand new 2 bedroom villa with a closed kitchen in the South of Ubud, Lodtunduh area. 11 minutes to Titi Batu Ubud Club and around 20 minutes to Ubud Center.

Fully new and never rented before. You will be the first guest.

This villa offers a rare setup for Ubud, featuring a fully enclosed kitchen in a separate room instead of the typical open plan kitchen living space. The kitchen is equipped with cookware, a steamer, and a juicer, making it convenient for everyday use.

The living area includes a cozy sofa, a black ceiling fan, and a designer chest of drawers, creating a stylish and comfortable atmosphere.

Each bedroom comes with air conditioning, a large low wooden bed made from quality wood, a comfortable mattress, a mirror, a small table, and a chair. The bathrooms feature beautiful tiles, black showers, and built in wall niches for toiletries. The shower area receives natural light from above.

The property has its own private territory with a small garden and a private swimming pool, offering a calm and pleasant environment.

ñ 2 bedrooms with air conditioning.
ñ Fully enclosed kitchen in a separate room.
ñ Living room with sofa and black ceiling fan.
ñ Designer furniture.
ñ Kitchen equipped with steamer and juicer.
ñ Stylish bathrooms with black showers.
ñ Private swimming pool.
ñ Small garden.
ñ Never rented before.

Including cleaning and WiFi. Electricity is separate.
";villa;rent;ubud;lodtunduh;2;2;20000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
62A;1 Bdr New from Doddy 18 juta;;"One bedroom two storey villa in the center of Seminyak, available for monthly or yearly rent. Located next to a traditional market, 3 minutes to Pepito, Festive, and Starbucks. Around 5 minutes to Ku De Ta and Petitenget Beach.

Modern private villa in a prime Seminyak location, offering a rare combination of central access and comfort. The property features a beautiful swimming pool and a contemporary design with stylish furniture throughout.

Fully enclosed living room and kitchen on the ground floor. The kitchen is equipped with an extractor hood above the stove and designed for comfortable everyday cooking. There is a cozy sofa in the living area, as well as a guest toilet on the first floor, meaning the villa offers two toilets in total.

Upstairs, the bedroom features air conditioning, a large TV, a beautiful wooden floor, and modern furnishings that create a warm and comfortable atmosphere.

This property stands out with electricity already included in both monthly and yearly prices, which is a rare and valuable benefit.

Key highlights include a modern design, a nice private pool, an enclosed kitchen and living space, a guest toilet downstairs, and a top tier central Seminyak location.

ñ One bedroom with air conditioning.
ñ Two storey building.
ñ Cozy swimming pool.
ñ Fully enclosed kitchen and living room.
ñ Extractor hood above the stove.
ñ Guest toilet on the ground floor.
ñ Large TV in the bedroom.
ñ Wooden floor in the bedroom.
ñ High speed WiFi 400.
ñ Modern design and furniture.

The villa is available from 21 February, but viewings can be arranged in advance.

Already included:
ñ Electricity.
ñ Cleaning twice a week.
ñ Pool maintenance twice a week.
ñ Linen and towel change once a week.";villa;rent;seminyak;;1;2;18000000;180000000;;idr;1;;monthly;21.02.2026;;;;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
20;4.6 billion Jalan Cinta 3bdr;;"For sale freehold, brand new 3 bedroom villa in the North of Ubud.
Location on Google Maps: near Huma Cafe by Goldmine, Jalan Cinta.
12-15 minutes to Ubud central. 

Beautiful view on the ricefields. Fresh air. Two story building. Balcony. Swimming pool 9x3 meters.

2 are land, 3 bedrooms, 3.5 bathrooms, big spacious living room with TV, big fully equipped kitchen, parking space for 4 scooters and 1 car. Electricity 7500 PLN, water borehole, permit - tourist lounge, PBG 2024.

Other lease options negotiable.
";villa;sale;ubud;tegallalang;3;3;;;4600000000;idr;;;full payment;now;;;;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹
15;Casa D Arta, Agus, 4 bdr;;"A special 4 bedroom villa for rent in the northwest of Ubud, Kedewatan district, north Penestanan.

3 min to new Pepito Kedewatan; 10 min to Bintang supermarket; 13 min to Ubud center.

The villa is good for retreats and creative people who will be able to appreciate its unique atmosphere:
4 bedrooms, 2 kitchens and dining area, additional space for yoga/meditation, a private pool located in the center of the plot, which offers a magical view of the starry sky and the moon.";villa;rent;ubud;kedewatan;4;4;25000000;250000000;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
35;Asri Cinta;;"Modern stylish 2-storey villa in the north of Ubud. 15 minutes to the center of Ubud.

With a view of rice fields. All amenities: swimming pool, air conditioning, closed kitchen and guest toilet on the ground floor, large bright bedroom with a balcony. Bathroom with separate shower and bathtub. Storage cabinets. Harman Kardon speaker.

Security deposit 2,000,000 IDR (refundable).
included: Cleaning, Wi-Fi, electricity up to 1 mil IDR.
";villa;rent;ubud;tegallalang;1;2;33000000;;;idr;1;;monthly;now;;;;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹
